Item Name,Item Quantity,Item Link,Item Unit Price,Item Price(RMB),Price In USD
Capa 100nF 1206,4,https://detail.tmall.com/item.htm?abbucket=20&id=592764875280&mi_id=0000gNdhAE-t8UP40Wib3U85FYwguPHwIKkaELt1sbwCN90&ns=1&priceTId=215040ab17829760597445679e0f7f&skuId=5536421505042&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%226edeebb11768f8195a5d86216bcd22b7%22%7D&xxc=taobaoSearch,NOT APPLIABLE,4.95,
WC1602A,1,https://item.taobao.com/item.htm?ali_refid=a3_430008_1006%3A1192730113%3AH%3AUQjvejhqGKCYhoq6CHURpm2Xb0iGnorC%3A47943c4e9544049cca0f72b199db7b70&ali_trackid=282_47943c4e9544049cca0f72b199db7b70&id=630572954097&mi_id=0000XQPBmF7m44zGdsoTNBNYa9HeyotyBq9ksZc7tQKvZVY&mm_sceneid=1_0_128516049_0&priceTId=215040ab17829761105241726e0f7f&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%22d902b06b04f03284f5043eac4656b60c%22%7D&xxc=ad_ztc,NOT APPLIABLE,5.3,
USB C 6P SMD,1,https://item.taobao.com/item.htm?abbucket=20&id=990070098529&mi_id=00006D3_RZlG_4N9vtpIvvFgnTzqVbf_HxvTjqMMKnmUmSo&ns=1&priceTId=215040ab17829761248172818e0f7f&skuId=5959601337725&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%22e9b5e4dfe5f459d37449600b5f3f4ba1%22%7D&xxc=taobaoSearch,4.8,4.8,
Resis 10k 1206,6,https://item.taobao.com/item.htm?abbucket=20&id=948014405380&mi_id=0000HDlpRuWP17GlPSf6S1dyEKWgku3KkV8dcC8pvBQNQqg&ns=1&priceTId=215040ab17829761505244810e0f7f&skuId=6022847878925&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%22f98b0480246867ed126ab4ba634678b3%22%7D&xxc=taobaoSearch,NOT APPLIABLE,1.5,
Resis 330 1206,1,https://item.taobao.com/item.htm?abbucket=20&id=948014405380&mi_id=0000HDlpRuWP17GlPSf6S1dyEKWgku3KkV8dcC8pvBQNQqg&ns=1&priceTId=215040ab17829761505244810e0f7f&skuId=6022847878925&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%22f98b0480246867ed126ab4ba634678b3%22%7D&xxc=taobaoSearch,NOT APPLIABLE,1.5,
Resis 5.1k 1206,2,https://item.taobao.com/item.htm?abbucket=20&id=948014405380&mi_id=0000HDlpRuWP17GlPSf6S1dyEKWgku3KkV8dcC8pvBQNQqg&ns=1&priceTId=215040ab17829761505244810e0f7f&skuId=6022847878925&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%22f98b0480246867ed126ab4ba634678b3%22%7D&xxc=taobaoSearch,NOT APPLIABLE,1.5,
RM065 Potentio SMD 10k,1,https://item.taobao.com/item.htm?ali_refid=a3_430620_1006%3A2730336632%3AH%3ABoMYZ0oNLDEIUIf1UVZqvg%3D%3D%3A178754382f306b094bdb580dd3a8b003&ali_trackid=282_178754382f306b094bdb580dd3a8b003&id=1027335498949&mi_id=00003FKYj1N7gcowFadJo0KQ2nDCUJLb8AZChuA2876iMMg&mm_sceneid=1_0_9982343763_0&priceTId=215040ab17829762114441426e0f7f&skuId=6204032838520&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%22df88a18687664cbbfad3f1cca780c3d7%22%7D&xxc=ad_ztc,1.4,1.4,
JS5208,1,https://item.taobao.com/item.htm?id=739043147728&mi_id=0000kuWiKHqk9L-WG5OeO-tR0SDaq4Gmm3ID9Kxpuao5Ddw&spm=tbpc.boughtlist.suborder_itemtitle.1.8fa12e8d9H6J8b&skuId=5096271028949,2.2,2.2,
SW 6mm THT,7,https://item.taobao.com/item.htm?abbucket=20&id=1021276117454&mi_id=0000EljFVfBMC6uYpUf4FSV0FxPsXw5GkFP8I6i1Nu4t4nA&ns=1&priceTId=215040ab17829762900488075e0f7f&skuId=6031348172442&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%22e29d3e78bfa3dc276cff76182391cdb5%22%7D&xxc=taobaoSearch,NOT APPLIABLE,2.8,
Z84C00 DIP,1,https://item.taobao.com/item.htm?abbucket=20&id=608875850524&mi_id=0000S_9z7qIo90QC6-fmI-Nndlu-fohhXwcJEyCvFPTZkys&ns=1&priceTId=2147844d17829831470458984e1093&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%2209defc76ce53b37e9f2ffe8fb2684f6a%22%7D&xxc=taobaoSearch,4.5,4.5,
28C256 DIP,1,https://item.taobao.com/item.htm?abbucket=20&id=39532371153&mi_id=00003c6KfRr7dVE9Zuv6l49HF9FsBiVGz6xPtKU4RcQCo_g&ns=1&priceTId=2147844d17829831650201997e1093&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%220c9564078486228c3469f51a6a6dc427%22%7D&xxc=taobaoSearch,16.5,16.5,
CY62256 DIP,1,https://item.taobao.com/item.htm?abbucket=20&id=1048236230258&mi_id=0000LOpCsJutyGm_TKjjDPWHdoek_v0Egz_Y63_-Ctb749w&ns=1&priceTId=2147844d17829831878303537e1093&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22b29d241064056852c5e4d22273833f44%22%7D&xxc=taobaoSearch,4,4,
MC6850,1,https://item.taobao.com/item.htm?abbucket=20&id=774768319105&mi_id=0000JpcMBELLj6pXlgXjoZQnlLrY1r7cCqscvFMjNfLt3KA&ns=1&priceTId=215040ab17829765379403684e0f7f&skuId=5302057969499&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%2248cd48a4051627a73149d0f368b12fc3%22%7D&xxc=taobaoSearch,2.98,2.98,
CH340C,1,https://detail.tmall.com/item.htm?id=969941374446&ali_refid=a3_430620_1006:1681791956:H:GznzMacpvOVvv07TLoCAYw%3D%3D:6deaf069c876d5e25de7f2dc774bc4d3&ali_trackid=282_6deaf069c876d5e25de7f2dc774bc4d3&spm=a21n57.1.hoverItem.1&xxc=ad_ztc&utparam=%7B%22aplus_abtest%22%3A%224d3e1177d3163e676989ecc9450058ec%22%7D&skuId=null&mi_id=0000wL6ag9_hBMUgij5YBSOANFU5k9EEQ9WUpOS2umH5NLI&priceTId=215040ab17829765747686541e0f7f&mm_sceneid=1_0_3594298432_0,2.2,2.2,
Z84C20 DIP,2,https://item.taobao.com/item.htm?abbucket=20&id=761218301763&mi_id=0000QRbkoxv2GpK0Opfr828QYuO33ZzIdmXHG_Kt-yYprfk&ns=1&priceTId=2147844d17829832538547586e1093&skuId=5418702079635&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%22617738e59f59203da277ed5a5d0b5d5c%22%7D&xxc=taobaoSearch,5.5,11,
74AHC1G04,1,https://item.taobao.com/item.htm?abbucket=20&id=1056972037441&mi_id=0000S7BHO6v7wH6YYBq985gYm333OCGAzyWBCR1hsnnAxhg&ns=1&priceTId=215040ab17829766167981248e0f7f&skuId=6098521265537&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%226f9c8f65fdabd039162536c6a87ed362%22%7D&xxc=taobaoSearch,0.26,0.26,
74LVC2G32,1,https://item.taobao.com/item.htm?ali_refid=a3_430620_1006%3A2618092747%3AH%3A0fU%2BrieC08ezg7xwspgG1mi3U6IkuaNG%3Aa1cc07042d99c9e791c237e71c7924dd&ali_trackid=282_a1cc07042d99c9e791c237e71c7924dd&id=991106887214&mi_id=00002MWIVoE8HumxAy7-HRtriWre0oPdn9dHPduiSI-AbCs&mm_sceneid=1_0_7944857373_0&priceTId=215040ab17829766470293847e0f7f&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%223d85fde8b953629cd3ba35de119ee4a1%22%7D&xxc=ad_ztc,1.08,1.08,
10MHz Crystal,1,https://item.taobao.com/item.htm?spm=a1z0d.6639537%2F202410.item.d594658769726.3d385886fKHLIM&id=594658769726&from=cart&skuId=4463870019686&mi_id=0000ZhaQiYxfYceezft5lwzKOcXtpsyaNVwgpgSiedyNSfQ&upStreamPrice=495,4.95,4.95,
2.4576 Crystal,1,https://item.taobao.com/item.htm?spm=a1z0d.6639537%2F202410.item.d594658769726.3d385886fKHLIM&id=594658769726&from=cart&skuId=4463870019686&mi_id=0000ZhaQiYxfYceezft5lwzKOcXtpsyaNVwgpgSiedyNSfQ&upStreamPrice=495,4.95,4.95,
DIP Sockets,2,https://detail.tmall.com/item.htm?id=14119412637&mi_id=0000rLXpGbgtc8shjSfFBJVAa-cqzVGvSDX3OsOf-ugxJoI&skuId=5061116598157&spm=tbpc.boughtlist.suborder_itemtitle.1.76242e8dnLAwbw,4.27,8.54,
OverAll,,,,86.91,13.0365
PCB,,,,Dunno,Dunno